Symbol,KMeans_K2,KMeans_K4,DBSCAN,Agglomerative_K2,OneClassSVM_nu020,OneClassSVM_consensus
SYN103,0,1,1,0,1,1
SYN104,0,1,1,0,-1,-1
SYN105,0,0,1,0,1,1
SYN106,0,1,1,0,-1,-1
SYN107,0,1,1,0,1,1
SYN108,0,1,1,0,1,1
SYN109,0,1,1,0,1,1
SYN110,0,1,1,0,1,1
SYN111,0,1,1,0,1,1
SYN112,0,1,1,0,-1,-1
SYN113,0,0,1,0,1,1
SYN114,0,0,1,0,1,1
SYN115,0,1,1,0,1,1
SYN116,0,1,1,0,1,1
SYN117,0,0,1,0,-1,-1
SYN118,0,1,1,0,1,1
SYN119,0,1,1,0,1,1
SYN120,0,1,1,0,1,1
SYN121,0,1,1,0,1,1
SYN122,0,0,1,0,1,1
SYN123,0,0,1,0,1,1
SYN124,0,1,1,0,1,1
SYN125,0,1,1,0,1,1
SYN126,0,1,1,0,1,1
SYN127,0,1,1,0,1,1
SYN128,0,2,2,0,-1,-1
SYN129,0,0,1,0,-1,-1
SYN130,0,1,1,0,1,1
SYN131,0,1,1,0,1,1
SYN132,0,1,1,0,1,1
SYN133,0,1,1,0,1,1
SYN134,0,1,1,0,-1,-1
SYN135,0,1,1,0,1,1
SYN136,0,0,1,0,1,1
SYN137,0,0,1,0,1,1
SYN138,0,0,1,0,1,1
SYN139,0,0,1,0,1,1
SYN140,0,0,1,0,1,1
SYN141,0,1,1,0,1,1
SYN142,0,1,1,0,1,1
SYN143,0,0,1,0,1,1
SYN144,0,0,1,0,1,1
SYN145,0,0,1,0,1,1
SYN146,0,1,1,0,1,1
SYN147,0,1,1,0,1,1
SYN148,0,0,1,0,1,1
SYN149,0,0,1,0,1,1
SYN150,0,1,1,0,1,1
SYN151,0,0,1,0,1,1
SYN152,0,1,1,0,1,1
SYN153,0,0,1,0,1,1
SYN154,0,0,1,0,1,1
SYN155,0,1,1,0,1,1
SYN156,0,0,1,0,-1,-1
SYN157,0,1,1,0,1,1
SYN158,0,2,-1,0,-1,-1
SYN159,0,0,1,0,1,1
SYN160,0,1,1,0,1,1
SYN161,0,1,1,0,1,1
SYN162,0,1,1,0,1,1
SYN163,0,0,1,0,1,1
SYN164,0,1,1,0,1,1
SYN165,0,0,1,0,1,1
SYN166,0,1,1,0,-1,-1
SYN167,0,1,1,0,1,1
SYN168,0,1,1,0,1,1
SYN169,0,0,1,0,1,1
SYN170,0,1,1,0,1,1
SYN171,0,1,1,0,1,1
SYN172,0,1,1,0,1,1
SYN173,0,0,1,0,1,1
SYN174,0,1,1,0,1,1
SYN175,0,0,1,0,1,1
SYN176,0,0,1,0,1,1
SYN177,0,1,1,0,1,1
SYN178,0,1,1,0,1,1
SYN179,0,0,1,0,1,1
SYN180,0,1,1,0,1,1
SYN181,0,1,1,0,1,1
SYN182,0,1,1,0,1,1
SYN183,0,0,1,0,1,1
SYN184,0,1,1,0,1,1
SYN185,0,0,1,0,1,1
SYN186,0,0,1,0,1,1
SYN187,0,1,1,0,-1,-1
SYN188,0,1,1,0,1,1
SYN189,0,1,1,0,-1,-1
SYN190,0,1,1,0,1,1
SYN191,0,1,1,0,1,1
SYN192,0,2,2,0,-1,-1
SYN193,0,1,1,0,1,1
SYN194,0,0,1,0,1,1
SYN195,0,0,1,0,1,1
SYN196,0,2,-1,0,-1,-1
SYN197,0,1,1,0,1,1
SYN198,0,0,1,0,1,1
SYN199,0,2,2,0,-1,-1
SYN200,0,1,1,0,1,1
SYN201,0,1,1,0,1,1
SYN202,0,0,1,0,1,1
SYN203,0,1,1,0,1,1
SYN204,0,1,1,0,1,1
SYN205,0,0,1,0,-1,-1
SYN206,0,1,1,0,1,1
SYN207,0,2,3,0,-1,-1
SYN208,0,1,1,0,1,1
SYN209,0,1,1,0,1,1
SYN210,0,0,1,0,1,1
SYN211,0,1,1,0,1,1
SYN212,0,2,2,0,-1,-1
SYN213,0,0,1,0,1,1
SYN214,0,0,1,0,1,1
SYN215,0,1,1,0,1,1
SYN216,0,1,1,0,1,1
SYN217,0,0,1,0,1,1
SYN218,0,1,1,0,1,1
SYN219,0,0,1,0,1,1
SYN220,0,1,1,0,1,1
TRX,0,0,1,0,-1,-1
UNI,0,0,1,0,-1,-1
USDC,0,2,2,0,-1,-1
USDT,0,2,-1,0,-1,-1
WBTC,0,0,1,0,-1,-1
XEM,1,3,-1,1,-1,-1
XLM,0,0,1,0,1,1
XMR,0,0,1,0,1,1
XRP,0,0,1,0,1,1
